model,feature,business_metric,importance
Random Forest,target_customer_value_lag1,Last purchase amount,0.594231955626222
Random Forest,customer_value_month_ma3,Average spending last 3 months,0.1044870777904084
Random Forest,customer_value_month_lag0,customer_value_month_lag0,0.0756342677573305
Random Forest,time_step,Customer lifetime (days),0.028011181029413922
Random Forest,purchase_revenue_sum,Total purchase revenue,0.014270679203701073
Random Forest,purchase_revenue_month_lag0,Recent purchase revenue,0.013445872841576237
Random Forest,purchase_revenue_month_ma3,purchase_revenue_month_ma3,0.005805727601452376
Random Forest,start_week_min,start_week_min,0.0043424878803116785
Random Forest,purchase_recency_cv,Variability of recency,0.0029490656726843196
Random Forest,view_latent_factor18,view_latent_factor18,0.002814306588874902
Random Forest,cart_revenue_sum,cart_revenue_sum,0.0026773406346806768
Random Forest,purchase_revenue_stddev,purchase_revenue_stddev,0.002534458629128978
Random Forest,cart_count_cv,Variability in cart activity,0.00251080957466815
Random Forest,time_to_purchase_revenue_sum,time_to_purchase_revenue_sum,0.0020681941274437138
Random Forest,view_revenue_sum,view_revenue_sum,0.0015931369240459218
Random Forest,purchase_revenue_max,purchase_revenue_max,0.0015791790107810945
Random Forest,session_recency_min,session_recency_min,0.0014730430984198893
Random Forest,inter_purchase_time_mean,inter_purchase_time_mean,0.0013980971133624371
Random Forest,customer_value_month_lag2,customer_value_month_lag2,0.0013825454971697587
Random Forest,session_recency_cv,Variability of session recency,0.0013677109430495292
Random Forest,cart_revenue_cv,cart_revenue_cv,0.0013638673924975262
Random Forest,view_latent_factor5,view_latent_factor5,0.0013397041570923176
Random Forest,purchase_latent_factor12,purchase_latent_factor12,0.0013045862046033982
Random Forest,view_latent_factor16,view_latent_factor16,0.0012986651628925604
Random Forest,purchase_latent_factor7,purchase_latent_factor7,0.0012905465994834924
LightGBM,cart_count_max,cart_count_max,1336.0
LightGBM,purchase_revenue_month_lag0,Recent purchase revenue,723.0
LightGBM,customer_value_month_lag0,customer_value_month_lag0,623.0
LightGBM,target_customer_value_lag1,Last purchase amount,589.0
LightGBM,purchase_revenue_stddev,purchase_revenue_stddev,412.0
LightGBM,view_latent_factor18,view_latent_factor18,401.0
LightGBM,view_revenue_mean,view_revenue_mean,340.0
LightGBM,time_to_purchase_min,time_to_purchase_min,326.0
LightGBM,time_step,Customer lifetime (days),325.0
LightGBM,purchase_revenue_month_lag1,purchase_revenue_month_lag1,317.0
LightGBM,customer_value_month_lag1,customer_value_month_lag1,296.0
LightGBM,purchase_revenue_sum,Total purchase revenue,282.0
LightGBM,customer_value_month_ma3,Average spending last 3 months,277.0
LightGBM,start_monthday_mean,start_monthday_mean,270.0
LightGBM,purchase_revenue_month_ma3,purchase_revenue_month_ma3,266.0
LightGBM,purchase_count_month_ma3,purchase_count_month_ma3,264.0
LightGBM,purchase_revenue_max,purchase_revenue_max,262.0
LightGBM,view_latent_factor28,view_latent_factor28,241.0
LightGBM,purchase_count_month_lag0,Number of purchases this month,238.0
LightGBM,inter_session_time_cv,inter_session_time_cv,235.0
LightGBM,session_recency_min,session_recency_min,229.0
LightGBM,purchase_revenue_mean,purchase_revenue_mean,229.0
LightGBM,start_hour_mean,start_hour_mean,222.0
LightGBM,view_latent_factor4,view_latent_factor4,219.0
LightGBM,cart_revenue_min,cart_revenue_min,213.0
XGBoost,target_customer_value_lag1,Last purchase amount,0.14007115364074707
XGBoost,customer_value_month_ma3,Average spending last 3 months,0.10286582261323929
XGBoost,start_week_min,start_week_min,0.09342336654663086
XGBoost,customer_value_month_lag0,customer_value_month_lag0,0.07687579840421677
XGBoost,cart_count_max,cart_count_max,0.028957556933164597
XGBoost,cart_count_cv,Variability in cart activity,0.028228595852851868
XGBoost,transaction_count_ratio,transaction_count_ratio,0.028121834620833397
XGBoost,start_monthday_cv,start_monthday_cv,0.01863049902021885
XGBoost,time_step,Customer lifetime (days),0.01697489805519581
XGBoost,purchase_count_sum,purchase_count_sum,0.01577524095773697
XGBoost,start_week_max,start_week_max,0.015266962349414825
XGBoost,purchase_revenue_sum,Total purchase revenue,0.014597405679523945
XGBoost,start_isweekend_stddev,start_isweekend_stddev,0.010077291168272495
XGBoost,view_revenue_sum,view_revenue_sum,0.008605008944869041
XGBoost,view_latent_factor18,view_latent_factor18,0.0074309417977929115
XGBoost,start_isweekend_sum,start_isweekend_sum,0.007275340612977743
XGBoost,purchase_count_month_lag3,purchase_count_month_lag3,0.007038930431008339
XGBoost,start_hour_stddev,start_hour_stddev,0.006266102660447359
XGBoost,purchase_revenue_month_lag0,Recent purchase revenue,0.006157783325761557
XGBoost,session_count_month_lag0,session_count_month_lag0,0.006144777871668339
XGBoost,purchase_recency_cv,Variability of recency,0.006075337063521147
XGBoost,start_month_mean,start_month_mean,0.005456082988530397
XGBoost,purchase_revenue_month_ma3,purchase_revenue_month_ma3,0.005440311972051859
XGBoost,view_latent_factor11,view_latent_factor11,0.005383748561143875
XGBoost,purchase_revenue_max,purchase_revenue_max,0.004875297658145428
CatBoost,target_customer_value_lag1,Last purchase amount,23.337766821547614
CatBoost,customer_value_month_lag0,customer_value_month_lag0,9.571103477946911
CatBoost,customer_value_month_ma3,Average spending last 3 months,6.463918320276778
CatBoost,purchase_revenue_month_lag0,Recent purchase revenue,6.279582959287234
CatBoost,purchase_revenue_sum,Total purchase revenue,6.004973867931498
CatBoost,time_step,Customer lifetime (days),5.839757557793483
CatBoost,customer_value_month_lag1,customer_value_month_lag1,5.737389304129025
CatBoost,view_latent_factor18,view_latent_factor18,1.7638873477619859
CatBoost,customer_value_month_lag2,customer_value_month_lag2,1.7342499746344555
